n,k,iters,avg,std
1,1,10000,3.6565481847523014,16.222429215913138
1,2,10000,12.794811367210293,64.18892857726102
1,3,10000,23.178619021638944,78.9669765025068
1,4,10000,39.480164776995345,142.00643822860965
1,5,10000,53.65447662720239,151.31220231558123
1,6,10000,79.93610635469709,239.30661978736654
1,7,10000,113.6963841270867,341.1210808657823
1,8,10000,144.06406444547903,399.57299335189
1,9,10000,177.59576371073948,473.27512630075637
2,1,10000,1277.660827193604,28036.37808892642
2,2,10000,7358.046666259915,265318.6142622718
2,3,10000,19239.59872109003,303928.7652433081
2,4,10000,29237.215509426773,241931.39351768963
2,5,10000,47875.85813611997,466328.66693068785
2,6,10000,88299.10776769428,669743.9959867435
2,7,10000,141510.6557457635,872241.4634722569
2,8,10000,251092.50871588744,2216677.44258835
2,9,10000,332415.2104736816,2013428.2407823182
3,1,10000,2207363.832018244,55970995.42955739
3,2,10000,11906316.889531782,450815290.80221874
3,3,10000,48392179.02920629,1646395210.6787732
3,4,10000,99441153.9213747,1706349413.2481236
3,5,10000,221187719.5519326,3153490599.063892
3,6,10000,515973973.45508826,11089008408.584906
3,7,10000,1121680714.836318,39093746051.58558
3,8,10000,1092107083.1890888,8699764651.089457
3,9,10000,2490965373.3607845,26142797039.130447
4,1,10000,8253684102.016778,302707437429.1768
4,2,10000,41806785584.40786,1182801329449.6304
4,3,10000,242230427372.89545,4723445970231.779
4,4,10000,2647476476558.4385,214133989586932.28
4,5,10000,1999718095616.6392,41621411792489.41
4,6,10000,4358308694596.06,75407393536496.2
4,7,10000,9697332853767.793,118160737886732.42
4,8,10000,19030618397645.973,283466495945706.25
4,9,10000,65033207660469.75,1079704919797809.5
5,1,10000,63401512337375.375,2094570608279228.0
5,2,10000,1101147453739084.6,5.5616002285595304e+16
5,3,10000,2.7532841674103356e+16,1.7358034317564529e+18
5,4,10000,4.886921616017643e+16,2.517866270133666e+18
5,5,10000,1.4103483129286917e+17,6.772843983849907e+18
5,6,10000,3.670254182695299e+17,1.5853427618960372e+19
5,7,10000,4.6838020971942534e+17,1.7513112465847906e+19
5,8,10000,9.516821261565727e+17,2.678650305462352e+19
5,9,10000,1.8250021345131261e+18,5.684104783729218e+19
6,1,10000,1.4384790924299886e+18,3.9223448474416595e+19
6,2,10000,2.759868592259628e+20,1.934387906356659e+22
6,3,10000,2.4554094352691405e+23,2.4542182123511476e+25
6,4,10000,2.145824197358048e+21,1.1035577876312193e+23
6,5,10000,1.1236476352830154e+22,8.021834373423204e+23
6,6,10000,1.4628778395470051e+22,5.6939619401276366e+23
6,7,10000,1.1227218022595962e+23,8.796758963763927e+24
6,8,10000,1.6724544415155115e+23,9.2533476747858e+24
6,9,10000,1.3221752574355304e+23,3.629337790488276e+24
7,1,10000,1.3500907295399842e+25,1.3252653338027898e+27
7,2,10000,7.080871564359851e+23,3.6608533104649894e+25
7,3,10000,3.6133002631669655e+25,2.2012248261497248e+27
7,4,10000,2.1817558383891208e+26,1.365486386242712e+28
7,5,10000,2.7873103966086336e+27,2.5591460866077634e+29
7,6,10000,4.834112722937794e+26,1.9581170213827138e+28
7,7,10000,8.183861632405676e+26,1.895540590547387e+28
7,8,10000,9.801921284417172e+27,2.1646708788666054e+29
7,9,10000,7.949167303792585e+27,1.9611319185891828e+29
8,1,10000,3.2778980284359722e+28,2.856149873678702e+30
8,2,10000,8.733534021495576e+29,7.34684802945879e+31
8,3,10000,8.742158557038299e+29,5.628113970682893e+31
8,4,10000,4.4042205029564314e+30,2.5368015609137725e+32
8,5,10000,1.148029111879429e+31,5.0468870539042015e+32
8,6,10000,3.93591099512352e+32,3.276352841563419e+34
8,7,10000,2.5644323475403464e+32,1.4744557025696138e+34
8,8,10000,4.497602599446243e+32,1.3374323898656755e+34
8,9,10000,2.716716552000684e+33,1.194742888776371e+35
9,1,10000,1.1451680261742786e+32,6.003068699348614e+33
9,2,10000,2.136300005402712e+35,2.0925194801766427e+37
9,3,10000,1.0893989969031015e+35,5.85868481323208e+36
9,4,10000,5.814953179443464e+36,5.0034714811252694e+38
9,5,10000,1.2703037482779899e+36,4.488224828182464e+37
9,6,10000,5.648220223730831e+38,5.025596813452703e+40
9,7,10000,8.023026896261713e+38,5.9639555505133e+40
9,8,10000,7.19389257636223e+37,2.278839941849187e+39
9,9,10000,6.2430557360295984e+38,2.788240469819327e+40
