n,k,iters,mean,std
1,1,100000,4.03651,24.9382
1,2,100000,12.033,51.6758
1,3,100000,24.0298,86.8071
1,4,100000,40.1976,145.204
1,5,100000,59.8973,188.432
2,1,100000,1151.67,19792
2,2,100000,6069.1,195228
2,3,100000,13846.8,217648
2,4,100000,30066.3,339427
2,5,100000,54801.3,522684
3,1,100000,3.1131e+06,2.42266e+08
3,2,100000,1.79e+07,1.30116e+09
3,3,100000,4.3855e+07,1.38134e+09
3,4,100000,1.50045e+08,1.04271e+10
3,5,100000,2.52427e+08,5.44793e+09
4,1,1000,6.78036e+09,1.13959e+11
4,2,1000,2.17231e+10,3.65885e+11
4,3,1000,6.96468e+10,8.05537e+11
4,4,1000,1.23842e+12,3.12738e+13
4,5,1000,5.79923e+12,7.40222e+13
5,1,100,9.07888e+11,8.11188e+12
5,2,100,5.65611e+13,3.4969e+14
5,3,100,4.33246e+15,4.18722e+16
5,4,100,7.68253e+15,6.93563e+16
5,5,100,1.94171e+16,1.07598e+17
